,lnd,lnd,lnd,lnd,lnd,cstrn,cstrnidrt,cstrnidrt,cstrnidrt,cstrnidrt,cstrnidrt,mrktg,mrktg,mrktg,taxutlt,taxutlt,addtnl,addtnl,addtnl,addtnl,addtnl,addtnl,fncg,fncg,fncg,sum
,prchs,brkrg,nhbond,jdclcst,tax_aqstn,cstrn,wtrelec,wsctbn,dsgncst,lcnscst,spvsn,rentagncy,salescsltg,advtsmnt,prpttax,prsvtntax,pmfee,oprtgcst,rsrvfund,trustcst,csltcst,legalcst,arngmnt,spcoprtg,agntbank,sum
2021-12-31,1000.0,39.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1084.0
2022-01-31,13500.0,91.5,35.8875,14.5,675.320825,2436.0416666666665,0.0,0.0,624.0,528.0,20.416666666666668,0.0,1000.0,0.0,0.0,0.0,200.0,30.0,0.0,1879.0,140.0,40.0,1940.0,66.0,30.0,23250.666658333335
2022-02-28,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-03-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-04-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-05-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-06-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,250.0,37.0,0.0,0.0,30.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.458333333333
2022-07-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-08-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-09-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-10-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-11-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2022-12-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-01-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2516.458333333333
2023-02-28,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-03-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-04-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-05-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-06-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,250.0,37.0,0.0,0.0,30.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,3712.458333333333
2023-07-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-08-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-09-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-10-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,980.0,163.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3629.458333333333
2023-11-30,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.458333333333
2023-12-31,0.0,0.0,0.0,0.0,0.0,2436.0416666666665,0.0,0.0,0.0,0.0,20.416666666666668,0.0,0.0,0.0,0.0,2866.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5352.458333333333
2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2024-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2024-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7615.0
